id,Analytical thinking,Systemic thinking,Adaptability,Focus
10863,4.0,4.0,5.0,4.0
10779,4.0,4.0,4.0,4.0
10183,5.0,5.0,5.0,4.0
10498,4.0,4.0,4.0,4.0
10224,4.0,3.0,4.0,4.0
10584,4.0,4.0,4.0,3.0
10600,3.0,3.0,3.0,4.0
10313,4.0,4.0,5.0,4.0
10830,3.0,3.0,3.0,4.0
10792,4.0,4.0,5.0,4.0
10684,4.0,4.0,4.0,4.0
10812,5.0,5.0,4.0,4.0
10629,4.0,4.0,4.0,4.0
10098,4.0,4.0,5.0,4.0
10955,5.0,5.0,5.0,4.0
10835,4.0,4.0,4.0,4.0
10170,5.0,4.0,5.0,5.0
10922,4.0,4.0,4.0,3.0
10202,4.0,4.0,4.0,5.0
10173,5.0,5.0,5.0,5.0
10920,4.0,5.0,5.0,5.0
10853,4.0,4.0,3.0,4.0
10878,4.0,4.0,3.0,4.0
10187,4.0,4.0,4.0,5.0
10664,5.0,4.0,5.0,5.0
10545,4.0,4.0,5.0,4.0
10297,4.0,4.0,4.0,4.0
10167,4.0,4.0,4.0,4.0
10228,5.0,4.0,5.0,4.0
10547,5.0,5.0,5.0,6.0
10504,4.0,5.0,5.0,4.0
10271,5.0,4.0,4.0,5.0
10644,4.0,4.0,5.0,4.0
10786,5.0,4.0,4.0,5.0
10682,4.0,4.0,4.0,4.0
10160,4.0,5.0,5.0,5.0
10306,5.0,4.0,5.0,5.0
10443,4.0,3.0,4.0,4.0
10496,3.0,3.0,3.0,3.0
10639,4.0,4.0,4.0,4.0
10817,4.0,4.0,5.0,4.0
10191,4.0,4.0,4.0,4.0
10176,4.0,4.0,4.0,4.0
10796,4.0,4.0,4.0,4.0
10785,4.0,4.0,4.0,4.0
10021,4.0,4.0,4.0,5.0
10381,4.0,4.0,3.0,4.0
10821,5.0,4.0,4.0,5.0
10661,5.0,5.0,5.0,4.0
10047,5.0,4.0,5.0,5.0
10092,6.0,5.0,5.0,5.0
10915,5.0,5.0,5.0,5.0
10522,5.0,4.0,5.0,5.0
10549,4.0,4.0,4.0,4.0
10240,4.0,4.0,5.0,4.0
10592,3.0,3.0,4.0,3.0
10402,5.0,4.0,5.0,5.0
10956,4.0,4.0,5.0,4.0
10175,4.0,4.0,5.0,4.0
10364,4.0,5.0,4.0,5.0
10750,5.0,4.0,5.0,5.0
10489,5.0,5.0,5.0,5.0
10458,5.0,4.0,4.0,4.0
10791,4.0,4.0,5.0,5.0
10182,4.0,4.0,4.0,4.0
10246,5.0,4.0,4.0,5.0
10932,5.0,4.0,5.0,5.0
10388,5.0,5.0,5.0,5.0
10476,4.0,4.0,5.0,5.0
10946,4.0,4.0,5.0,5.0
10505,4.0,4.0,4.0,4.0
10742,4.0,4.0,4.0,4.0
10369,5.0,4.0,5.0,5.0
10782,4.0,5.0,5.0,4.0
10289,4.0,4.0,5.0,4.0
10950,5.0,4.0,5.0,4.0
10528,4.0,4.0,4.0,5.0
10808,4.0,4.0,4.0,4.0
10775,4.0,4.0,4.0,4.0
10188,4.0,4.0,5.0,4.0
10409,4.0,4.0,4.0,4.0
10501,4.0,4.0,5.0,4.0
10917,4.0,4.0,5.0,5.0
10282,4.0,3.0,5.0,4.0
10665,4.0,4.0,5.0,4.0
10024,4.0,5.0,5.0,5.0
10524,5.0,4.0,5.0,5.0
10851,4.0,4.0,5.0,5.0
10354,4.0,3.0,5.0,4.0
10512,4.0,3.0,4.0,4.0
10566,5.0,6.0,5.0,5.0
10117,4.0,4.0,4.0,4.0
10674,5.0,5.0,5.0,4.0
10161,4.0,4.0,5.0,4.0
10594,4.0,5.0,5.0,4.0
10809,4.0,3.0,4.0,4.0
10157,5.0,5.0,5.0,4.0
10688,4.0,5.0,5.0,4.0
10705,3.0,3.0,3.0,3.0
10619,5.0,4.0,5.0,5.0
10738,5.0,4.0,5.0,4.0
10201,4.0,4.0,5.0,4.0
10145,5.0,4.0,5.0,4.0
10017,4.0,4.0,4.0,4.0
10085,4.0,4.0,5.0,5.0
10267,6.0,5.0,5.0,5.0
10447,4.0,4.0,5.0,5.0
10903,4.0,3.0,4.0,4.0
10632,4.0,4.0,4.0,5.0
10797,4.0,4.0,4.0,4.0
10152,4.0,4.0,4.0,4.0
10536,5.0,4.0,4.0,4.0
10883,5.0,4.0,5.0,4.0
10732,5.0,4.0,4.0,4.0
10609,4.0,4.0,4.0,4.0
10320,5.0,5.0,5.0,5.0
10232,5.0,4.0,4.0,4.0
10317,4.0,4.0,4.0,4.0
10949,4.0,3.0,4.0,4.0
10764,5.0,5.0,4.0,4.0
10230,5.0,5.0,5.0,5.0
10276,4.0,4.0,4.0,4.0
10492,4.0,4.0,4.0,5.0
10741,4.0,4.0,5.0,4.0
10308,4.0,4.0,5.0,4.0
10435,3.0,3.0,3.0,4.0
10180,3.0,3.0,4.0,4.0
10193,4.0,5.0,4.0,4.0
10771,4.0,4.0,4.0,4.0
10473,4.0,5.0,5.0,4.0
10248,4.0,4.0,4.0,5.0
10034,4.0,4.0,4.0,4.0
10205,4.0,5.0,4.0,5.0
10854,4.0,4.0,5.0,5.0
10734,4.0,4.0,4.0,4.0
10185,4.0,4.0,4.0,4.0
10865,4.0,4.0,4.0,4.0
10530,5.0,5.0,5.0,5.0
10676,4.0,3.0,4.0,3.0
10938,3.0,3.0,4.0,4.0
10902,5.0,6.0,5.0,5.0
10384,4.0,5.0,5.0,5.0
10288,4.0,4.0,4.0,4.0
10627,4.0,4.0,5.0,4.0
10251,4.0,4.0,4.0,4.0
10942,4.0,4.0,5.0,5.0
10222,5.0,4.0,5.0,5.0
10653,4.0,4.0,4.0,5.0
10570,5.0,4.0,4.0,4.0
10846,4.0,3.0,4.0,4.0
10325,5.0,5.0,6.0,5.0
10140,5.0,5.0,6.0,5.0
10258,5.0,4.0,5.0,5.0
10480,3.0,4.0,3.0,4.0
10348,5.0,4.0,5.0,4.0
10389,4.0,4.0,4.0,4.0
10006,4.0,4.0,5.0,4.0
10064,3.0,3.0,4.0,3.0
10022,5.0,4.0,5.0,5.0
10569,3.0,3.0,4.0,4.0
10446,4.0,4.0,4.0,4.0
10071,4.0,4.0,5.0,5.0
10043,5.0,5.0,5.0,5.0
10699,4.0,5.0,4.0,5.0
10238,5.0,4.0,5.0,5.0
10116,5.0,4.0,4.0,5.0
10113,5.0,4.0,5.0,5.0
10189,5.0,4.0,5.0,5.0
10763,5.0,4.0,5.0,5.0
10803,6.0,5.0,6.0,4.0
10163,4.0,4.0,4.0,4.0
10839,5.0,4.0,5.0,4.0
10123,4.0,4.0,4.0,4.0
10621,4.0,4.0,5.0,5.0
10009,4.0,4.0,4.0,4.0
10880,4.0,4.0,3.0,3.0
10315,5.0,4.0,5.0,5.0
10041,4.0,3.0,4.0,4.0
10954,4.0,3.0,4.0,4.0
10301,4.0,4.0,5.0,4.0
10326,4.0,4.0,4.0,4.0
10596,5.0,4.0,5.0,5.0
10243,4.0,4.0,5.0,5.0
10203,4.0,4.0,3.0,4.0
10249,5.0,5.0,4.0,4.0
10557,3.0,3.0,4.0,4.0
10252,6.0,6.0,6.0,5.0
10337,5.0,4.0,5.0,5.0
10637,4.0,4.0,5.0,4.0
10658,4.0,4.0,5.0,4.0
10091,5.0,4.0,5.0,5.0
10546,4.0,4.0,4.0,4.0
10918,4.0,5.0,5.0,5.0
10466,5.0,4.0,5.0,5.0
10127,4.0,4.0,5.0,4.0
10112,4.0,4.0,4.0,4.0
10304,5.0,5.0,5.0,5.0
10428,4.0,4.0,4.0,4.0
10295,4.0,4.0,4.0,4.0
10762,5.0,5.0,5.0,5.0
10360,4.0,4.0,4.0,4.0
10651,5.0,4.0,5.0,5.0
10396,5.0,4.0,5.0,5.0
10217,4.0,4.0,4.0,4.0
10611,4.0,4.0,4.0,4.0
10556,5.0,4.0,4.0,4.0
10601,3.0,3.0,4.0,4.0
10964,4.0,4.0,4.0,5.0
10073,4.0,5.0,5.0,5.0
10710,5.0,4.0,5.0,5.0
10852,4.0,4.0,4.0,4.0
10662,4.0,4.0,5.0,4.0
10454,5.0,4.0,4.0,4.0
10573,4.0,4.0,5.0,5.0
10074,1.0,1.0,3.0,1.0
10838,4.0,4.0,4.0,4.0
10229,6.0,5.0,5.0,5.0
10195,4.0,4.0,5.0,4.0
10766,5.0,4.0,5.0,5.0
10691,5.0,4.0,5.0,5.0
10894,4.0,4.0,4.0,4.0
10960,4.0,4.0,5.0,5.0
10441,5.0,4.0,4.0,4.0
10899,4.0,4.0,4.0,4.0
10887,4.0,5.0,4.0,4.0
10538,4.0,5.0,5.0,4.0
10654,4.0,4.0,5.0,5.0
10416,4.0,4.0,4.0,4.0
10194,4.0,4.0,4.0,5.0
10815,4.0,4.0,5.0,5.0
10794,6.0,5.0,5.0,4.0
10186,4.0,4.0,4.0,4.0
10671,4.0,4.0,5.0,4.0
10128,3.0,3.0,4.0,4.0
10367,3.0,3.0,4.0,4.0
10967,5.0,4.0,5.0,5.0
10495,6.0,5.0,5.0,4.0
10341,5.0,4.0,5.0,4.0
10068,5.0,5.0,5.0,5.0
10957,4.0,4.0,4.0,4.0
10944,5.0,4.0,5.0,5.0
10787,6.0,5.0,5.0,5.0
10100,4.0,4.0,4.0,4.0
10434,5.0,5.0,5.0,5.0
10912,5.0,5.0,6.0,5.0
10487,4.0,4.0,4.0,5.0
10329,4.0,4.0,4.0,4.0
10945,5.0,4.0,5.0,5.0
10129,4.0,5.0,5.0,4.0
10875,4.0,4.0,4.0,4.0
10376,4.0,4.0,5.0,4.0
10499,4.0,4.0,4.0,4.0
10906,4.0,4.0,2.0,2.0
10172,4.0,5.0,5.0,5.0
10279,5.0,5.0,4.0,5.0
10624,5.0,4.0,5.0,5.0
10709,5.0,5.0,6.0,5.0
10939,4.0,4.0,4.0,4.0
10391,4.0,4.0,4.0,4.0
10577,4.0,4.0,4.0,4.0
10730,4.0,3.0,4.0,3.0
10965,5.0,5.0,5.0,5.0
10690,4.0,4.0,4.0,4.0
10961,5.0,5.0,5.0,5.0
10477,4.0,4.0,4.0,4.0
10330,4.0,4.0,5.0,5.0
10475,4.0,4.0,4.0,4.0
10948,5.0,5.0,5.0,5.0
10178,4.0,4.0,5.0,4.0
10036,4.0,4.0,5.0,4.0
10928,4.0,3.0,4.0,3.0
10561,4.0,4.0,5.0,4.0
10374,4.0,4.0,5.0,4.0
10046,4.0,4.0,4.0,4.0
10011,4.0,5.0,4.0,4.0
10255,4.0,4.0,4.0,4.0
10553,4.0,4.0,4.0,3.0
10590,4.0,4.0,3.0,4.0
10748,5.0,4.0,5.0,4.0
10164,4.0,4.0,4.0,4.0
10736,4.0,4.0,5.0,4.0
10149,5.0,5.0,5.0,5.0
10335,4.0,4.0,4.0,4.0
10414,4.0,4.0,4.0,4.0
10431,5.0,4.0,5.0,5.0
10591,4.0,3.0,4.0,5.0
10931,4.0,4.0,3.0,4.0
10131,3.0,3.0,3.0,4.0
10554,4.0,5.0,5.0,4.0
10159,4.0,4.0,4.0,4.0
10200,4.0,4.0,4.0,4.0
10777,5.0,4.0,5.0,4.0
10412,4.0,4.0,4.0,4.0
10866,4.0,5.0,5.0,4.0
10358,4.0,4.0,4.0,3.0
10659,5.0,4.0,4.0,4.0
10723,5.0,4.0,5.0,5.0
10253,5.0,4.0,5.0,5.0
10646,5.0,5.0,5.0,5.0
10126,4.0,4.0,4.0,4.0
10392,5.0,4.0,4.0,4.0
10744,4.0,4.0,4.0,4.0
10780,5.0,5.0,5.0,5.0
10133,1.0,4.0,4.0,4.0
10488,4.0,5.0,5.0,5.0
10689,5.0,4.0,5.0,5.0
10876,5.0,4.0,5.0,5.0
10236,4.0,4.0,4.0,4.0
10008,5.0,4.0,5.0,5.0
10401,4.0,4.0,4.0,3.0
10933,3.0,3.0,4.0,4.0
10142,5.0,4.0,5.0,5.0
10806,4.0,4.0,4.0,4.0
10278,4.0,4.0,4.0,4.0
10540,4.0,4.0,5.0,4.0
10385,5.0,5.0,5.0,5.0
10102,4.0,5.0,4.0,5.0
10058,4.0,4.0,4.0,4.0
10799,4.0,4.0,3.0,3.0
10804,5.0,5.0,4.0,4.0
10818,5.0,5.0,5.0,5.0
10533,3.0,3.0,3.0,3.0
10291,4.0,4.0,3.0,4.0
10604,4.0,4.0,4.0,4.0
10711,4.0,4.0,4.0,4.0
10663,6.0,6.0,5.0,5.0
10264,5.0,5.0,5.0,5.0
10418,4.0,5.0,4.0,5.0
10395,6.0,5.0,5.0,5.0
10564,4.0,4.0,4.0,4.0
10421,5.0,4.0,5.0,5.0
10219,4.0,4.0,4.0,4.0
10735,3.0,4.0,3.0,4.0
10368,4.0,4.0,5.0,4.0
10415,5.0,4.0,4.0,4.0
10460,4.0,3.0,4.0,4.0
10740,5.0,5.0,5.0,5.0
10562,5.0,4.0,5.0,5.0
10666,5.0,5.0,5.0,5.0
10143,3.0,4.0,4.0,4.0
10406,4.0,4.0,6.0,5.0
10535,4.0,4.0,5.0,4.0
10347,4.0,4.0,4.0,4.0
10061,4.0,3.0,4.0,4.0
10733,4.0,5.0,5.0,4.0
10897,4.0,4.0,5.0,5.0
10515,4.0,4.0,4.0,4.0
10517,4.0,3.0,4.0,4.0
10681,4.0,4.0,5.0,5.0
10302,5.0,4.0,5.0,5.0
10403,5.0,4.0,4.0,5.0
10597,4.0,4.0,4.0,5.0
10578,5.0,4.0,4.0,4.0
10300,4.0,4.0,4.0,4.0
10871,5.0,4.0,5.0,5.0
10670,4.0,4.0,4.0,4.0
10410,5.0,4.0,5.0,4.0
10640,4.0,4.0,4.0,4.0
10721,4.0,4.0,5.0,4.0
10408,5.0,4.0,5.0,5.0
10532,5.0,5.0,5.0,5.0
10125,5.0,4.0,4.0,4.0
10390,4.0,4.0,3.0,4.0
10697,4.0,4.0,5.0,5.0
10457,5.0,4.0,5.0,4.0
10579,4.0,4.0,4.0,4.0
10407,4.0,4.0,4.0,5.0
10383,4.0,4.0,4.0,4.0
10375,4.0,4.0,5.0,5.0
10567,4.0,4.0,5.0,5.0
10707,4.0,4.0,4.0,4.0
10212,4.0,4.0,5.0,4.0
10452,5.0,5.0,5.0,5.0
10256,4.0,5.0,5.0,4.0
10760,4.0,4.0,4.0,4.0
10242,5.0,5.0,6.0,5.0
10146,4.0,4.0,5.0,4.0
10747,4.0,4.0,4.0,4.0
10283,4.0,4.0,4.0,4.0
10719,3.0,4.0,4.0,4.0
10840,5.0,4.0,5.0,5.0
10940,4.0,4.0,4.0,4.0
10864,5.0,6.0,5.0,5.0
10911,5.0,5.0,4.0,4.0
10037,3.0,3.0,3.0,3.0
10770,4.0,5.0,5.0,5.0
10686,4.0,4.0,5.0,5.0
10154,4.0,4.0,5.0,4.0
10599,5.0,6.0,6.0,6.0
10321,4.0,4.0,4.0,4.0
10032,4.0,4.0,5.0,4.0
10910,4.0,4.0,4.0,5.0
10132,4.0,4.0,5.0,4.0
10387,4.0,4.0,3.0,4.0
10614,4.0,4.0,5.0,5.0
10052,4.0,4.0,5.0,4.0
10016,4.0,4.0,4.0,4.0
10886,4.0,4.0,4.0,4.0
10816,4.0,4.0,5.0,4.0
10716,3.0,3.0,3.0,4.0
10472,5.0,4.0,5.0,5.0
10729,5.0,5.0,6.0,5.0
10104,5.0,5.0,5.0,5.0
10057,5.0,4.0,5.0,5.0
10151,4.0,4.0,4.0,4.0
10379,4.0,5.0,5.0,4.0
10135,4.0,4.0,4.0,4.0
10890,4.0,4.0,4.0,4.0
10831,4.0,4.0,4.0,5.0
10683,4.0,4.0,4.0,4.0
10970,5.0,4.0,5.0,4.0
10543,4.0,4.0,4.0,4.0
10896,4.0,3.0,4.0,4.0
10090,5.0,5.0,6.0,5.0
10587,4.0,4.0,4.0,4.0
10582,5.0,4.0,5.0,5.0
10080,4.0,4.0,5.0,4.0
10462,3.0,4.0,3.0,4.0
10035,5.0,6.0,5.0,5.0
10870,4.0,4.0,4.0,4.0
10108,4.0,5.0,4.0,5.0
10353,4.0,4.0,5.0,4.0
10048,3.0,1.0,3.0,3.0
10832,5.0,4.0,5.0,5.0
10087,3.0,3.0,4.0,5.0
10623,4.0,4.0,4.0,4.0
10226,5.0,4.0,5.0,5.0
10571,5.0,5.0,5.0,5.0
10491,3.0,4.0,4.0,4.0
10370,4.0,4.0,4.0,4.0
10772,4.0,4.0,5.0,5.0
10537,4.0,4.0,5.0,4.0
10885,4.0,3.0,5.0,4.0
10166,4.0,5.0,5.0,5.0
10075,4.0,4.0,4.0,4.0
10426,4.0,5.0,4.0,4.0
10272,4.0,4.0,5.0,4.0
10393,5.0,4.0,5.0,4.0
10079,3.0,4.0,3.0,3.0
10826,4.0,4.0,4.0,4.0
10702,4.0,4.0,5.0,4.0
10216,4.0,4.0,4.0,4.0
10576,5.0,4.0,4.0,4.0
10919,4.0,4.0,4.0,4.0
10445,5.0,6.0,5.0,5.0
10701,5.0,4.0,5.0,5.0
10119,4.0,4.0,5.0,4.0
10015,5.0,4.0,5.0,4.0
10901,4.0,4.0,4.0,4.0
10737,4.0,4.0,5.0,5.0
10575,4.0,4.0,5.0,4.0
10836,4.0,4.0,4.0,3.0
10124,5.0,4.0,5.0,5.0
10503,4.0,4.0,5.0,5.0
10197,4.0,4.0,4.0,4.0
10502,4.0,4.0,4.0,4.0
10595,4.0,4.0,4.0,4.0
10813,4.0,4.0,4.0,4.0
10206,4.0,4.0,4.0,4.0
10700,4.0,3.0,4.0,4.0
10650,5.0,4.0,4.0,4.0
10712,1.0,1.0,1.0,1.0
10508,4.0,5.0,5.0,5.0
10122,4.0,4.0,4.0,4.0
10138,4.0,5.0,5.0,5.0
10144,4.0,5.0,5.0,5.0
10089,4.0,4.0,4.0,4.0
10042,3.0,3.0,4.0,3.0
10050,4.0,4.0,4.0,4.0
10656,4.0,4.0,4.0,4.0
10607,5.0,4.0,5.0,4.0
10484,5.0,4.0,5.0,4.0
10586,5.0,4.0,4.0,4.0
10225,4.0,4.0,5.0,4.0
10221,4.0,4.0,4.0,4.0
10233,4.0,4.0,4.0,3.0
10506,4.0,4.0,4.0,5.0
10720,4.0,4.0,4.0,4.0
10322,5.0,4.0,4.0,4.0
10824,4.0,4.0,4.0,4.0
10574,4.0,4.0,4.0,4.0
10751,4.0,5.0,4.0,4.0
10694,4.0,4.0,5.0,5.0
10459,4.0,4.0,5.0,4.0
10724,4.0,4.0,5.0,4.0
10625,5.0,4.0,5.0,5.0
10343,4.0,4.0,4.0,4.0
10020,4.0,4.0,5.0,5.0
10739,6.0,6.0,6.0,5.0
10755,4.0,4.0,4.0,5.0
10555,5.0,5.0,4.0,5.0
10725,4.0,4.0,4.0,4.0
10190,3.0,3.0,3.0,4.0
10285,5.0,5.0,5.0,5.0
10345,4.0,4.0,3.0,4.0
10417,5.0,4.0,3.0,3.0
10474,5.0,4.0,4.0,4.0
10026,5.0,4.0,5.0,5.0
10095,5.0,5.0,5.0,5.0
10841,5.0,4.0,4.0,5.0
10598,5.0,4.0,5.0,5.0
10858,4.0,4.0,5.0,4.0
10805,5.0,4.0,5.0,5.0
10001,4.0,4.0,5.0,4.0
10336,4.0,4.0,4.0,4.0
10937,4.0,5.0,5.0,5.0
10273,4.0,4.0,5.0,5.0
10156,4.0,4.0,5.0,4.0
10430,5.0,4.0,5.0,4.0
10550,4.0,4.0,5.0,5.0
10962,4.0,4.0,4.0,4.0
10424,5.0,4.0,4.0,4.0
10181,4.0,4.0,4.0,4.0
10269,4.0,4.0,5.0,4.0
10069,4.0,5.0,4.0,4.0
10820,5.0,5.0,5.0,5.0
10768,4.0,4.0,5.0,5.0
10027,5.0,4.0,5.0,5.0
10372,4.0,4.0,3.0,4.0
10647,4.0,4.0,5.0,5.0
10769,5.0,4.0,5.0,4.0
10045,4.0,4.0,4.0,4.0
10618,4.0,5.0,5.0,4.0
10927,5.0,4.0,5.0,4.0
10469,4.0,4.0,3.0,4.0
10111,4.0,4.0,3.0,4.0
10287,4.0,4.0,4.0,4.0
10857,4.0,4.0,4.0,5.0
10263,4.0,4.0,4.0,4.0
10062,4.0,4.0,5.0,4.0
10012,3.0,4.0,4.0,3.0
10147,5.0,5.0,5.0,5.0
10268,4.0,4.0,5.0,5.0
10103,5.0,4.0,5.0,4.0
10171,4.0,4.0,5.0,5.0
10568,5.0,6.0,5.0,5.0
10892,5.0,5.0,5.0,5.0
10641,5.0,5.0,6.0,5.0
10207,3.0,4.0,3.0,4.0
10856,5.0,4.0,5.0,4.0
10437,4.0,4.0,4.0,4.0
10657,4.0,4.0,4.0,4.0
10223,4.0,4.0,4.0,4.0
10778,4.0,4.0,4.0,4.0
10943,4.0,4.0,4.0,4.0
10083,4.0,4.0,4.0,4.0
10003,5.0,5.0,5.0,5.0
10040,5.0,4.0,5.0,5.0
10284,5.0,4.0,4.0,4.0
10270,5.0,4.0,5.0,5.0
10467,4.0,4.0,5.0,5.0
10616,4.0,4.0,4.0,4.0
10648,4.0,4.0,4.0,4.0
10973,4.0,4.0,4.0,3.0
10756,5.0,4.0,5.0,4.0
10455,4.0,4.0,4.0,4.0
10400,5.0,5.0,5.0,5.0
10929,4.0,4.0,4.0,4.0
10941,4.0,3.0,4.0,4.0
10811,5.0,5.0,4.0,4.0
10093,5.0,4.0,5.0,5.0
10349,5.0,5.0,5.0,5.0
10819,4.0,4.0,4.0,3.0
10565,4.0,3.0,4.0,4.0
10303,5.0,5.0,5.0,5.0
10563,5.0,4.0,5.0,4.0
10386,5.0,4.0,5.0,5.0
10675,5.0,4.0,5.0,4.0
10366,4.0,4.0,4.0,4.0
10340,4.0,4.0,4.0,4.0
